id,description,entities,followers_count,friends_count,lang,location,name,screen_name,statuses_count
1244083799274766342,Stunningly bad COVID-19 takes. Inspired by @BadLegalTakes. DM or @ me. FAQ: https://t.co/pfQMZ0pQG7,"{'description': {'urls': [{'url': 'https://t.co/pfQMZ0pQG7', 'expanded_url': 'https://twitter.com/BadCOVID19Takes/status/1253025643786391557', 'display_url': 'twitter.com/BadCOVID19Take…', 'indices': [76, 99]}]}}",125830,561,,,Bad COVID-19 Takes, BadCOVID19Takes,6451
80918137,"I love to read, and watch Supernatural, Arrow, Flash, WWE and Hawaii Five O. Hometown Fort Walton Beach FL","{'url': {'urls': [{'url': 'https://t.co/TOw5lOzmmU', 'expanded_url': 'http://www.facebook.com/paulette.corona1', 'display_url': 'facebook.com/paulette.coron…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",446,1276,,Mesa Arizona,Paulette Corona, bpcorona,7695
3006912204,Official Twitter account of the Corona Centennial Huskies Football Program 10x CIF Champs Head Coach Matt Logan #1 Public School In California,"{'url': {'urls': [{'url': 'https://t.co/PEaBqOpkAE', 'expanded_url': 'http://www.centennialhuskyfootball.com', 'display_url': 'centennialhuskyfootball.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",5919,1110,,"Corona, CA",Corona Centennial FB, Cen10Football,6445
1172112379,💙🌸Lost my breath when I saw you take your first. 💙🌸  Savannah Rae Corona 💙🎀 I love being a #GirlDad 🧒🏼 9/18/18 - Forever 🧒🏼,{'description': {'urls': []}},319,59,,"Sanford, NC",⚾️Nick Corona⚾️, CoachCorona,5075
819760435410845704,"President & COO @ChasmacGaming | Ex. @TeamLiquid, @SeleccionCRmx, @100Thieves, @EDG_Edward Clash Royale |CCS European and World Champion @x6tence 🥇|",{'description': {'urls': []}},7457,625,,The Abyss,MrCorona13, Corona13MX,4201
1074430858222821376,“♫ Ｒｅａｄｙ ａｓ Ｉ’ｌｌ ｅｖｅｒ ｂｅ！♫” 𝒩𝑜𝓌 𝓉𝒽𝑒 𝑅𝑜𝓎𝒶𝓁 𝒜𝓁𝒸𝒽𝑒𝓂𝒾𝓈𝓉 𝑜𝒻 𝒞𝑜𝓇𝑜𝓃𝒶 @coronapirate 𝚋𝚎𝚕𝚘𝚗𝚐𝚜 𝚒𝚗 𝚖𝚢 𝚑𝚎𝚊𝚛𝚝,"{'url': {'urls': [{'url': 'https://t.co/5qJHF0ulBP', 'expanded_url': 'https://disney.fandom.com/wiki/Varian', 'display_url': 'disney.fandom.com/wiki/Varian', 'indices': [0, 23]}]}, 'description': {'urls': []}}",1350,781,,𝙾𝚕𝚍 𝙲𝚘𝚛𝚘𝚗𝚊,❛ ᴠᴀʀɪᴀɴ ❜, CoronaAlchemist,18877
37972772,"President & Founder, Corona Cigar Co. Co-Founder, Cigar Rights of America. Exclusive grower of Florida Sun Grown Cigar Tobacco. Owner, Davidoff Since 1911 Tampa","{'url': {'urls': [{'url': 'https://t.co/QAuqe0dVql', 'expanded_url': 'http://www.coronacigar.com', 'display_url': 'coronacigar.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",7499,1524,,"Orlando, Florida",Jeff Borysiewicz, CoronaCigarCo,10321
1233340625090760705,"Curated and translated by @kamber_marco
All donations are very much appreciated: 
https://t.co/PEuJmvCQPq
https://t.co/2vFeCF0LaC
https://t.co/NpfgQa5hDe","{'url': {'urls': [{'url': 'https://t.co/wMMxvGBUlm', 'expanded_url': 'https://www.coronaenglish.ch/', 'display_url': 'coronaenglish.ch', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/PEuJmvCQPq', 'expanded_url': 'http://bit.ly/2WmdFWV', 'display_url': 'bit.ly/2WmdFWV', 'indices': [82, 105]}, {'url': 'https://t.co/2vFeCF0LaC', 'expanded_url': 'http://paypal.me/coronaenglish', 'display_url': 'paypal.me/coronaenglish', 'indices': [106, 129]}, {'url': 'https://t.co/NpfgQa5hDe', 'expanded_url': 'http://buymeacoffee.com/CoronaEnglish', 'display_url': 'buymeacoffee.com/CoronaEnglish', 'indices': [130, 153]}]}}",9953,178,,Zurich,English Coronavirus updates for Switzerland, CoronaEnglish,5499
116490969,"Connect with Corona Tools for real 1 on 1 conversations, news, topics and FUN related to gardening, landscape and tree care industries. COME JOIN US!","{'url': {'urls': [{'url': 'https://t.co/uZTug7EJaV', 'expanded_url': 'http://www.coronatoolsusa.com', 'display_url': 'coronatoolsusa.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",8694,4331,,"Corona, CA",Corona Tools, CoronaTools,102307
1234971467869294592,"Latest news of Corona Virus across India & World 2 create awareness and to take necessity precautions & 🌍 trending News

Note: Collecting info 4m Internet only",{'description': {'urls': []}},5214,48,,India,CoronaVirus Updates, CoronaVirusInd2,5886
1235107494260768768,"Alerts on Corona Virus in India | Stay informed, Stay Safe | RTs r not endorsements | Pls message if any retweet is false or offensive. We will remove n report.",{'description': {'urls': []}},3240,7,,,Corona Virus Alerts India, corona_alerts,55073
179600562,"We serve the businesses of Corona. We're a catalyst for bus. growth, a convener of leaders and influencers and champions for a stronger community. Since 1910.","{'url': {'urls': [{'url': 'https://t.co/WwGaz39Kg5', 'expanded_url': 'https://linktr.ee/coronachamber', 'display_url': 'linktr.ee/coronachamber', 'indices': [0, 23]}]}, 'description': {'urls': []}}",2290,676,,"Corona, CA",Corona Chamber of Commerce, Corona_Chamber,11130
1239779520904704001,Official information and updates from the NZ Government about COVID-19. Community guidelines: https://t.co/U9UstaTilr,"{'url': {'urls': [{'url': 'https://t.co/HwTY14fpUw', 'expanded_url': 'http://www.covid19.govt.nz/', 'display_url': 'covid19.govt.nz', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/U9UstaTilr', 'expanded_url': 'https://bit.ly/2HUPv0t', 'display_url': 'bit.ly/2HUPv0t', 'indices': [94, 117]}]}}",41385,5,,New Zealand,Unite against COVID-19, covid19nz,12791
1378918443877986308,"Data📊 Website🌐& twitter🐦 tracking Covid-19🦠 in Australia 🇦🇺
Including Vaccinations💉, Cases📈, Tests🧪, & more.
Run by three teenagers in Melbourne😁","{'url': {'urls': [{'url': 'https://t.co/M5vPe1E70J', 'expanded_url': 'https://covidbaseau.com', 'display_url': 'covidbaseau.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",53629,70,,AUSTRALIA,CovidBaseAU 🦠📊🇦🇺, covidbaseau,10184
740410251107794944,"Senior Center Director•Mayor of West Wendover, NV•2020 NVLCM Public Official Of The Year he/him/el Thoughts are my own.",{'description': {'urls': []}},2541,1209,,"West Wendover, NV",Mayor Daniel Corona, DanielCoronaNV,4050
16187388,"Las sociedades se suicidan, votar K es el ejemplo más claro d ello. Cuando hagas 3 cuadras de cola para comprar 1 kg de azucar, A LLORAR A LA IGLESIA, PELOTUDO",{'description': {'urls': []}},335773,540,,Argentina,CoronaVirus, ElBolsoDeLazaro,4156
1235753586983747585,We welcome teams + individuals to our global network to join forces to end COVID19   https://t.co/0cEmfGeAud,"{'url': {'urls': [{'url': 'https://t.co/MK5s0Rs6NM', 'expanded_url': 'https://www.endcoronavirus.org/', 'display_url': 'endcoronavirus.org', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/0cEmfGeAud', 'expanded_url': 'https://social.endcoronavirus.org/ig', 'display_url': 'social.endcoronavirus.org/ig', 'indices': [85, 108]}]}}",13029,782,,,EndCoronaVirus.org, endCOVID19,3115
1244960680001835010,"Stories of those lost to COVID per news reports, obits & submissions. They were more than a statistic. Link to submit a story below.","{'url': {'urls': [{'url': 'https://t.co/7tfHIQc5vl', 'expanded_url': 'https://docs.google.com/forms/d/e/1FAIpQLSeSKkN49-kMH4R1y7f001r-muSA5dl89BZJ1BT7DtDCLrTqVw/viewform', 'display_url': 'docs.google.com/forms/d/e/1FAI…', 'indices': [0, 23]}]}, 'description': {'urls': []}}",149475,5,,,FacesOfCOVID, FacesOfCOVID,6650
2803109615,"⊰【 Flare Corona 】⊱ ❝Eclipses doesn’t make the light of the Sun go away. Once they fade, the Sun shines once again, brighter than before.❞",{'description': {'urls': []}},2230,518,,⊰ Sun Village ⊱,Flare『炎髪』, FlareCorona,9462
158396356,"Comic book artist for Middlewest, Feathers, Big Trouble in Little China, No.1 With A Bullet, We Are Robin, Goners...","{'url': {'urls': [{'url': 'https://t.co/0fCZgfLbX9', 'expanded_url': 'http://www.instagram.com/jorge_cor', 'display_url': 'instagram.com/jorge_cor', 'indices': [0, 23]}]}, 'description': {'urls': []}}",4642,927,,"Denver, CO",Jorge Corona -Big Sugar-, jecorona,6522
1341580537509470209,Jawatankuasa Khas Jaminan Akses Bekalan Vaksin COVID-19. JK utama perolehan & pelaksanaan program imunisasi vaksin COVID-19. #LindungDiriLindungSemua,"{'url': {'urls': [{'url': 'https://t.co/KJrnGbdOyb', 'expanded_url': 'https://vaksincovid.gov.my/', 'display_url': 'vaksincovid.gov.my', 'indices': [0, 23]}]}, 'description': {'urls': []}}",248480,14,,Malaysia,Vaksin COVID-19 🇲🇾, JKJAVMY,6916
18812910,"Hola. Soy Kid Corona, America’s Trivia Host. IG: @AmericasTriviaHost. Quien quiere jugar trivia?","{'url': {'urls': [{'url': 'https://t.co/0UrfNXaC6a', 'expanded_url': 'https://markcorona.com', 'display_url': 'markcorona.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}",1600,402,,,Kid Corona, KidCorona,6953
46831108,"Your online Corona destination since 2009. We share the latest news, info and events in and around Corona, CA.","{'url': {'urls': [{'url': 'http://t.co/R9moTX769o', 'expanded_url': 'http://www.lifeincorona.com/', 'display_url': 'lifeincorona.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}",1783,128,,"Corona, CA",Life in Corona, lifeincorona,3483
